                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  5.445,                 5.5954,                 4.7953,                0.00011,                0.00214,                  6e-05,                  2e-05,                 5.5767,                 4.7844,                 4.1613,              6.668e-05,              6.668e-05,              6.668e-05
                      2,                 5.3584,                 5.1609,                  4.709,                0.00022,                0.00214,                0.00011,                  4e-05,                 5.5765,                 4.7937,                 4.1643,             0.00010052,             0.00010052,             0.00010052
                      3,                 5.3394,                 4.6692,                 4.4048,                0.00023,                0.00214,                0.00012,                  5e-05,                 5.5761,                 4.8076,                 4.1681,             7.9349e-05,             7.9349e-05,             7.9349e-05
